ID	Escena	Path	Linea	Descripción	SPANISH	ENGLISH
xxx	00 Diario	escenas/00_diario.tscn		No hay texto		
your_watch_is_nice	01 Autopista	escenas/01_autopista.tscn	22	dice('Alex', )	Te queda muy lindo el reloj que te regalamos.	The watch we gave you looks really nice on you.
tatoos_amaze_me	01 Autopista	escenas/01_autopista.tscn	28	anotar_en_el_diario(      	Me sorprende cada dia mas cuántos implantes tiene Milán en el brazo.	I'm increasingly surprised by how many implants Milán has in their arm day after day.
car_chat_summary	01 Autopista	escenas/01_autopista.tscn	31-33	anotar_en_el_diario(      	Tuve la charla de siempre en el auto con mis viejis: hay que aparentar en público, pero después está bien que seas tu misme.  Bla, bla, bla. Hablamos del reloj de mi abuele (mi reliquia preciada) y creo que discutieron.  Milán tiende a exagerar todo.	I had the usual talk in the car with my parents: you have to appear a certain way in public, but it's okay to be yourself afterward. Bla, bla, bla. We talked about my grandma's watch (my precious heirloom) and I think they argued. Milán tends to exaggerate everything.
enough_of_the_recorder	01 Autopista	escenas/01_autopista.tscn	36	dice('Milan', '')	Suficiente con esa grabadora que le regalamos para sus quince	That recorder we gave them for their fifteenth birthday was enough already.
milan_doesnt_have_sense_of_fashion	01 Autopista	escenas/01_autopista.tscn	37	dice_a_la_grabadora('')	Nota: Milán no tiene sentido de la moda.	Note to self: Milán has no sense of fashion.
what_classmates_say_about_watch	01 Autopista	escenas/01_autopista.tscn	39	dice('Milan', '')	Pero, ¿qué te dicen tus compañeres del reloj?	But what do your classmates say about the watch?
i_dont_care	01 Autopista	escenas/01_autopista.tscn	41	elige(['no_me_importa']	No me importa.	I don't care.
i_know	01 Autopista	escenas/01_autopista.tscn	42	elige(['ya_se'])	Ya sé. (Se quita el reloj)	I know... (Takes off the watch)
they_dont_care	01 Autopista	escenas/01_autopista.tscn	43	elige(['no_les_importa']	No les importa. (Miente)	They don't care. (Lies)
dont_get_us_trouble	01 Autopista	escenas/01_autopista.tscn	47	dice('Milan', '')	No nos hagas tener problemas, Jade.	Don't get us in trouble, Jade.
this_things_meant_at_home	01 Autopista	escenas/01_autopista.tscn	51	dice('Milan', '')	Sabes que esas son cosas para usar en casa.	You know those things are meant to only be on display at home.
__glares_at_jade__	01 Autopista	escenas/01_autopista.tscn	55	dice('Milan', ')	*Milán mira mal a Jade desde el espejo retrovisor.*'	*Milán glares at Jade in the rearview mirror.*
sure_theyre_busy	01 Autopista	escenas/01_autopista.tscn	60	dice('Alex', '')	Seguro que elles están muy ocupades con sus implantes.	I'm sure they're very busy with their implants.
they_have_a_computer_right_there	01 Autopista	escenas/01_autopista.tscn	62	dice('Milan', '')	Hoy en día tienen una computadora ahí.	These days they have a computer right in there.
wevearrived	01 Autopista	escenas/01_autopista.tscn	66	dice('Alex', '')	Llegamos.	We've arrived.
closed_door	02 Pasillo Escuela	escenas/02_pasillo_escuela.tscn	27,30	dice(  Jade  ,     )	Mm, esta puerta parece estar cerrada por ahora	Mm, this door seems to be locked for now.
no_time_to_explore	02 Pasillo Escuela	escenas/02_pasillo_escuela.tscn	34,38	dice(  Jade  ,     )	No tengo tiempo de explorar, tengo que rendir el examen	I don't have time to explore this, I have to go to class and take the exam.
complete_exam	03 Aula	escenas/03_aula.tscn	32	dice(  Jade  ,     )	Tengo que completar este estúpido examen.	I have to complete this stupid exam.
profesor_complete_exam	03 Aula	escenas/03_aula.tscn	34	 Profesore  ,     )	Dónde crees que vas, Jade? Completa tu examen como el resto de la clase.	Where do you think you're going, Jade? Finish your exam like the rest of the class.
arrived_early	03 Aula	escenas/03_aula.tscn	39	anota_en_el_diario(    )	Para sorpresa mía, llegué unos minutos antes, pero en nada tenía que rendir el examen y la verdad tenía cero ganas de sentarme a escribir y usar mi cerebro	To my surprise, I arrived a few minutes early to schooll, but I had to do the exam, and honestly, I had zero desire to sit down and write and use my brain
disgusting_exam	03 Aula	escenas/03_aula.tscn	40	anota_en_el_diario(    )	Ugh, que asco de examen. Realmente son unes chupamedias de este estúpido gobierno y su adoración por la tecnología...	Ugh, I hate this exam. They're really just bootlickers of this stupid government and their obsession with technology...
broken_clock	03 Aula	escenas/03_aula.tscn	47	dice(  Jade  ,     )	El reloj no funciona desde que estudio acá. Para ser una sociedad que está tan atada a la tecnología, a veces dejan mucho que desear	The clock hasn't been working since I started studying here. t's ironic how, in a society so reliant on technology, there are still significant shortcomings.
implant_equals_no_clock	03 Aula	escenas/03_aula.tscn	49	dice(  Jade  ,     )	Claro que si todes tienen un implante que les indica siempre la hora, no necesitan este viejo reloj de pared...	Although thinking about it, when everyone has an implant telling them the time constantly, this old wall clock becomes obsolete...
reminder_of_implants	03 Aula	escenas/03_aula.tscn	50	dice(  Jade  ,     )	Se siente como un recordatorio para les que no tenemos implantes. Quieren que seamos conscientes de que esta sociedad no está pensada para nosotres	It feels like a reminder for those of us without implants. They want us to be aware that this society isn't designed for us.
exam_handout	03 Aula	escenas/03_aula.tscn	54	dice(  Profesore  ,     )	El examen ya fue repartido. Llegaste con el tiempo justo.	The exam has already been handed out. You barely made it on time.
remember_times	03 Aula	escenas/03_aula.tscn	55	dice(  Profesore  ,     )	Recuerda, llegar temprano es estar a tiempo. Llegar a tiempo es llegar tarde, y llegar tarde es inaceptable.	Remember, being early is being on time. Being on time is being late, and being late is unacceptable.
finished	03 Examen	escenas/03_examen.tscn	80	dice(  Jade  ,     )	Terminé	I'm done.
hope_its_ok	03 Examen	escenas/03_examen.tscn	81	dice(  Jade  ,     )	Espero que todo esté bien	I hope everything is right.
believe_it_went_well	03 Examen	escenas/03_examen.tscn	90	anota_en_el_diario(    )	Creo que me fue excelente en el examen! En tu cara robotito	I think I did excellent on the exam! In your face, robocop.
believe_it_went_pretty_well	03 Examen	escenas/03_examen.tscn	93	anota_en_el_diario(    )	Creo que me fue bastante bien. Y eso que me dieron ganas de quemar el examen en la pregunta dos	I think I did pretty well, considering I felt like burning the exam on question number two.
numbers_arent_important	03 Examen	escenas/03_examen.tscn	96	anota_en_el_diario(    )	Aprender es lo que importa, no con qué nota. Espero haberme sacado la nota mínima al menos, aunque ese examen realmente es un chiste	Learning is what matters, not the grade. I hope I just passed, although that exam is really a joke.
dumb_exam	03 Examen	escenas/03_examen.tscn	99	anota_en_el_diario(    )	Siempre es lo mismo con ese estúpido examen. No debo haber acertado nada, porque siempre hay que poner exactamente lo que dicen los libros	It's always the same with that stupid exam. I must have gotten everything wrong because you always have to put exactly what the books say.
history_exam	03 Examen	escenas/03_examen.tscn	363		Examen de Historia	History Exam
according_to_the_classes	03 Examen	escenas/03_examen.tscn	376		Según lo visto en clase y les autores trabajados, responda las siguientes preguntas.	Based on the material and authos covered in class, answer the following questions.
answer_exam_a	03 Examen	escenas/03_examen.tscn	397		A) Describa la sociedad transhumanista en la que vivimos.	A) Describe the transhumanist society we live in.
question_a_option_1	03 Examen	escenas/03_examen.tscn	425		1- Es una sociedad basada en el progreso tecnológico y un gobierno transhumanista democrático, que genera dinero, fama, trabajo e igualdades de condiciones para todes les ciudadanes. Se apunta al crecimiento humane-tecnológico para desafiar la mortalidad de la naturaleza humana.	1- It's a society driven by technological advancement and governed democratically under transhumanist principles. This society generates wealth, fame, employment, and equal opportunities for all its citizens. Its goal is to foster the symbiosis of humanity and technology, pushing the boundaries of human mortality.
question_a_option_2	03 Examen	escenas/03_examen.tscn	441		2- Es una sociedad que busca mejorar al ser humane.	2- It's a society that seeks to improve the human being.
question_a_option_3	03 Examen	escenas/03_examen.tscn	457		3- Es una sociedad que, gracias al avance tecnológico, mejora la condición humana y busca expandirse más allá de sus limitaciones físicas y mentales.	3- It's a society where technological progress enhances the human condition, pushing the boundaries of physical and mental limitations. 
answer_exam_b	03 Examen	escenas/03_examen.tscn	478		B) ¿Cuáles son las grandes metas de la sociedad transhumanista?	B) What are the primary objectives of this transhumanist society?
question_b_option_1	03 Examen	escenas/03_examen.tscn	505		1- Eterna juventud, androginia y biotecnología.	1- Eternal youth, androgyny, and biotechnology.
question_b_option_2	03 Examen	escenas/03_examen.tscn	518		2- Criogenia, modificaciones corporales, super-inteligencia y eliminación del género.	2- Cryonics, body enhancements, achieving superintelligence, and the eradication of gender.
question_b_option_3	03 Examen	escenas/03_examen.tscn	531		3- Post-Humanidad y reproducción asistida.	3- Post-humanity and assisted reproduction.
answer_exam_c	03 Examen	escenas/03_examen.tscn	566		C) ¿Qué cambios generó el nuevo gobierno a través del progreso tecnológico en la sociedad humana?	C) What transformations did the new government introduce through technological advancement in human society?
question_c_option_1	03 Examen	escenas/03_examen.tscn	594		1- Ayudó a les humanes a mejorar su vida a través de la tecnología. Su nivel de vida se vio afectado de forma positiva, erradicando así la pobreza.	1- It helped humans improve their lives through technology. Their standard of living was positively impacted, thus eradicating poverty.
question_c_option_2	03 Examen	escenas/03_examen.tscn	610		2- El nuevo gobierno mejoró la calidad de vida humana. Ayudó a combatir las desigualdades existentes en la sociedad antigua, que eran generadas por el rechazo del humane al avance tecnológico.	2- The new government elevated the quality of human life, addressing the pre-existing inequalities in the old society that stemmed from human resistance to technological progress
question_c_option_3	03 Examen	escenas/03_examen.tscn	626		3- Gracias al nuevo gobierno vivimos en una sociedad donde todes tenemos las mismas oportunidades de trabajo, sin desigualdades sociales y despojados de las limitaciones físicas y mentales que les humanes tenían que soportar en la antigua sociedad.	3- Thanks to the new government, we now live a society where every individual enjoys equal employment opportunities, devoid of social disparities and liberated from the physical and mental constraints that burdened humans in the past.
empty_corridors	04 Pasillo Escuela	escenas/04_pasillo_escuela2.tscn	29-33	anotar_en_el_diario(             )	Los pasillos de esta escuela siempre están vacíos. Pero lo que nunca faltan son esas figuras perturbadoras del estúpido de Volk. Todos lo alaban y a su super-sociedad de mierda.	The hallways of this school are always empty. But what's never lacking are those disturbing figures of Volk -- What an idiot. Everyone praises him and his damn super-society.
try_camera_classroom	04 Pasillo Escuela	escenas/04_pasillo_escuela2.tscn	37	dice(  Jade  ,     )	Quiero probar la cámara en el aula	I want to try the camera in the classroom.
wish_no_professor	04 Pasillo Escuela	escenas/04_pasillo_escuela2.tscn	41	dice(  Jade  ,     )	Ojalá no vuelva a cruzarme a le profe. Nada nunca es suficiente para elle.	I hope I don't run into the teacher again. Nothing is ever enough for them.
finished_exam_explore	04 Pasillo Escuela	escenas/04_pasillo_escuela2.tscn	45	dice(  Jade  ,     )	Ya terminé el examen. Quiero explorar el pasillo antes de volver	I've finished the exam. I want to explore the hallway before going back.
dont_want_patio	04 Pasillo Escuela	escenas/04_pasillo_escuela2.tscn	50	dice(  Jade  ,     )	Todavía no quiero ir al patio	I don't want to go to the schoolyard yet.
volk_bust	04 Pasillo Escuela	escenas/04_pasillo_escuela2.tscn	59	dice(  Jade  ,     )	Creo que vi algo al lado del busto de Volk. Quizás debería revisarlo antes de ir al museo	I think I saw something next to Volk's bust. Maybe I should check it out before going to the museum.
can_take_pic	04 Pasillo Escuela	escenas/04_pasillo_escuela2.tscn	65	dice(  Jade  ,     )	Puedo sacarle una foto?	Can I take a photo of this?
log_42	04 Pasillo Escuela	escenas/04_pasillo_escuela2.tscn	70	dice_a_la_grabadora(            )	Bitácora número 42: En el pasillo tenemos un cuadro de Volk, principal exponente del movimiento transhumanista.	Log Entry Number 42: In the hallway, we can observe a painting of Volk, the main proponent of the transhumanist movement.
transhumanist_movement	04 Pasillo Escuela	escenas/04_pasillo_escuela2.tscn	71	dice_a_la_grabadora(            )	Cuando el movimiento transhumanista recién estaba iniciando, Volk procramabla que con los implantes	When the transhumanist movement was just starting, Volk proclaimed that with implants,
better_selves	04 Pasillo Escuela	escenas/04_pasillo_escuela2.tscn	72	dice_a_la_grabadora(             )	todos podríamos alcanzar la mejor versión de nosotres mismes.	 we could all achieve the best versions of ourselves.
no_difference	04 Pasillo Escuela	escenas/04_pasillo_escuela2.tscn	74	dice_a_la_grabadora(              )	Volk aseguraba que cuando ascendiera al poder, no habría diferencias entre nosotres, todes seríamos iguales:	Volk promised that once he seized power, there woudn't be differences among us; 
horizontal_society	04 Pasillo Escuela	escenas/04_pasillo_escuela2.tscn	75	dice_a_la_grabadora(              )	no habría personas ricas, pobres, ni en cargos de poder. Una sociedad horizontal, clamaba.	there would be no rich, no poor, and no individuals in positions of authority. He advocated for a society of complete equality, a vision he passionately championed.
promised_land	04 Pasillo Escuela	escenas/04_pasillo_escuela2.tscn	81-85	anotar_en_el_diario(              )	Lo peor de todo es que su campaña fue para llevarnos a la tierra prometida. La verdad que si es esto, devolveme a la época anterior.	The worst part is, his campaign was to lead us to the promised land. Frankly, if this is it, take me back to the old times.
log_316	04 Pasillo Escuela	escenas/04_pasillo_escuela2.tscn	86	dice_a_la_grabadora(            )	Bitácora número 316: Un mes después de que Volk ascendiera al poder,	Log Entry Number 316: A month after Volk rose to power,
volk_asked_portrait	04 Pasillo Escuela	escenas/04_pasillo_escuela2.tscn	88	dice_a_la_grabadora(                        )	exigió que todos los ámbitos educativos, religiosos y comerciales exhibieran al menos un cuadro o escultura suya.	he demanded that all educational, religious, and commercial institutions display at least one painting or sculpture of himself.
closed_schools	04 Pasillo Escuela	escenas/04_pasillo_escuela2.tscn	91	dice_a_la_grabadora(              )	Varias instituciones fueron clausuradas por no hacerlo.	Several institutions were shut down for not complying.
cosmic_triangle	04 Pasillo Escuela	escenas/04_pasillo_escuela2.tscn	97	dice(  Jade  ,     )	La pertubación triangular cósmica desapareció	The cosmic triangular disturbance disappeared.
luck_camera	04 Pasillo Escuela	escenas/04_pasillo_escuela2.tscn	98	dice(  Jade  ,     )	Que suerte que me llevé la cámara	Luckyly I brought the camera.
whats_that	04 Pasillo Escuela	escenas/04_pasillo_escuela2.tscn	100	dice(  Jade  ,     )	Qué es eso en la esquina?	What's that in the corner?
nice_love_letter	04 Pasillo Escuela	escenas/04_pasillo_escuela2.tscn	108	anota_en_el_diario(    ) 	Esta carta de amor tiene una escritura bastante particular, me hace acordar a los romances que muestran en la películas de antes... No puedo evitar pensar en que hay un misterio re loco en esta escuela aburrida	This love letter has a very peculiar handwriting; it reminds me of the romances they show in old movies. I can't help but think there's a crazy mystery in this boring school.
no_double_pic	04 Pasillo Escuela	escenas/04_pasillo_escuela2.tscn	113	dice(  Jade  ,     )	No quiero gastar otra foto en lo mismo.	I'd rather not waste another photo on the same subject
exam_result	05 Aula Post Examen	/05_aula_post_examen.tscn	28	dice(  Jade  ,     )	Ya que estoy acá, voy a ver si está el resultado del examen. No que me importe... pero seguro Milán me lo va a preguntar más tarde.	Now that I'm here, I'll check if the exam results are out. Not that I care... but Milán will surely ask me about it later.
excelent_exam	05 Aula Post Examen	/05_aula_post_examen.tscn	35	dice(  Profesore  ,    )	Las respuestas del examen fueron excelentes. Estoy sorprendide. Abriremos una investigación para asegurarnos de que no hiciste trampa.	The exam answers were excellent. I'm surprised. We'll conduct an investigation to ensure you didn't cheat.
cheating_exam	05 Aula Post Examen	/05_aula_post_examen.tscn	36	anota_en_el_diario(    )	TRAMPA, lo que me faltaba. Igual no hay mejor venganza que mi excelente nota. En tu robotica cara robotito	CHEATING, just what I needed. Still, there's no better revenge than my excellent grade. In your robotic face, robocop.
approved_exam	05 Aula Post Examen	/05_aula_post_examen.tscn	38	dice(  Profesore  ,     )	Aprobaste, pero hay espacio para mejoras. Deberías ser más como tus compañeres si deseas finalizar tus estudios con una buena recomendación	You passed, but there's room for improvement. You should be more like your peers if you want to finish your studies with a good recommendation.
be_like_classmates	05 Aula Post Examen	/05_aula_post_examen.tscn	39	anota_en_el_diario(    )	No necesito ser como mis compañeres con sus estúpidos implantes. Además, fue tremenda nota, en sus caras!	I don't need to be like my peers with their stupid implants. Besides, it was an amazing grade, take that!
minimum_exam	05 Aula Post Examen	/05_aula_post_examen.tscn	41	dice(  Profesore  ,    )	Aprobaste con la nota mínima. Deberías ser más como tus compañeres si deseas finalizar tus estudios con una buena recomendación	You passed with the minimum grade. You should be more like your peers if you want to finish your studies with a good recommendation.
im_happy_with_exam	05 Aula Post Examen	/05_aula_post_examen.tscn	42	anota_en_el_diario(    )	Lo que importa es que aprobé y no va a haber sermón en casa. Y nadie necesita ser como les ridícules con implantes, tengo mi intelecto natural	What matters is that I passed, and there won't be a lecture at home. No one needs to be like those ridiculous people with implants; I have my natural intellect.
failed_exam	05 Aula Post Examen	/05_aula_post_examen.tscn	44	dice(  Profesore  ,     )	No hay palabras para describir la aversión que me resultó leer este examen. De todos modos, no me sorprende este resultado viniendo de ti.	I can't find the words to express how repulsed I felt reading this exam. But then again, I'm not surprised by this outcome, considering it's from you.
suck_it_exam	05 Aula Post Examen	/05_aula_post_examen.tscn	45	anota_en_el_diario(   )	Bla, bla, bla... A mi me genera aversión tu cara y no digo nada. Lo peor es que en casa se va a venir otra charla de mil horas. Estúpido examen	Blah, blah, blah... Your face disgusts me, and I don't say anything. The worst part is, there will be another endless lecture at home. Stupid exam.
what_to_take_pic_of	05 Aula Post Examen	/05_aula_post_examen.tscn	50	dice(  Jade  ,     )	A qué puedo sacarle foto?	What should I take a picture of?
